city,state,state_short_name,latitude,longitude
St. Petersburg,Florida,FL,27.762,-82.6441
Stamford,Connecticut,CT,41.0799,-73.546
Sterling Heights,Michigan,MI,42.5812,-83.0303
Stockton,California,CA,37.9763,-121.3133
Sunnyvale,California,CA,37.3858,-122.0263
Surprise,Arizona,AZ,33.6706,-112.4527
Syracuse,New York,NY,43.041,-76.1436
Tacoma,Washington,WA,47.2522,-122.4598
Tallahassee,Florida,FL,30.4551,-84.2534
Tampa,Florida,FL,27.9701,-82.4797
Temecula,California,CA,33.5019,-117.1246
Tempe,Arizona,AZ,33.3884,-111.9318
Thornton,Colorado,CO,39.918,-104.9454
Thousand Oaks,California,CA,34.1933,-118.8742
Toledo,Ohio,OH,41.6641,-83.5819
Topeka,Kansas,KS,39.0362,-95.6948
Torrance,California,CA,33.835,-118.3414
Tucson,Arizona,AZ,32.1543,-110.8711
Tulsa,Oklahoma,OK,36.1279,-95.9023
Tyler,Texas,TX,32.35,-95.3
Vallejo,California,CA,38.1079,-122.2639
Vancouver,Washington,WA,45.6372,-122.5965
Ventura,California,CA,34.2681,-119.255
Victorville,California,CA,34.5277,-117.3536
Virginia Beach,Virginia,VA,36.7793,-76.024
Visalia,California,CA,36.3272,-119.3234
Vista,California,CA,33.1936,-117.2411
Waco,Texas,TX,31.5601,-97.186
Warren,Michigan,MI,42.4929,-83.025
Washington,District of Columbia,DC,38.9041,-77.0171
Waterbury,Connecticut,CT,41.5585,-73.0367
West Covina,California,CA,34.0559,-117.9099
West Jordan,Utah,UT,40.6023,-112.001
West Palm Beach,Florida,FL,26.7483,-80.1266
West Valley City,Utah,UT,40.6885,-112.0118
Westminster,Colorado,CO,39.8822,-105.0644
Wichita,Kansas,KS,37.6907,-97.3427
Wichita Falls,Texas,TX,33.9067,-98.5259
Wilmington,North Carolina,NC,34.2092,-77.8858
Winston–Salem,North Carolina,NC,36.1033,-80.2606
Woodbridge,New Jersey,NJ,40.5608,-74.2926
Worcester,Massachusetts,MA,42.2695,-71.8078
Yonkers,New York,NY,40.9459,-73.8674
